label,issue_count,avg_body_length,median_body_length,avg_comment_count,median_comment_count,closed_count,closure_rate,avg_resolution_days,median_resolution_days,min_resolution_days,max_resolution_days
RFC,189,3932.3174603174602,2927.0,8.047619047619047,5.0,111,58.730158730158735,107.23200492158826,120.06774305555555,0.0018171296296296297,371.2138541666667
aws-neuron,3,8627.666666666666,6530.0,5.0,4.0,3,100.0,148.11360725308643,121.30582175925926,92.41445601851852,230.6205439814815
bug,3987,11172.821921244044,8323.0,5.286932530724855,3.0,3020,75.74617506897417,66.33550561074331,14.368217592592593,3.472222222222222e-05,647.2546180555555
ci-failure,36,12197.638888888889,4425.0,2.3055555555555554,1.0,32,88.88888888888889,2.0156593605324082,0.6922627314814815,0.20997685185185186,17.510659722222222
ci/build,5,8311.8,7944.0,1.8,2.0,0,0.0,,,,
deepseek,1,12753.0,12753.0,0.0,0.0,1,100.0,1.198773148148148,1.198773148148148,1.198773148148148,1.198773148148148
documentation,157,1449.1337579617834,664.0,3.8152866242038215,2.0,134,85.35031847133759,47.450832296849086,7.931846064814815,0.00018518518518518518,393.2834722222222
feature request,1092,1259.6272893772893,739.0,4.7765567765567765,3.0,812,74.35897435897436,119.95655430407314,120.68086226851852,0.0001273148148148148,661.9846064814815
frontend,1,592.0,592.0,5.0,5.0,1,100.0,0.23542824074074073,0.23542824074074073,0.23542824074074073,0.23542824074074073
good first issue,112,3099.6071428571427,970.0,6.714285714285714,5.0,85,75.89285714285714,75.03013902505447,29.707175925925927,0.1359027777777778,414.6086226851852
help wanted,57,2002.438596491228,1022.0,7.0701754385964914,5.0,47,82.45614035087719,107.71702546296297,80.45820601851852,0.2895023148148148,555.0359953703704
installation,342,7149.494152046784,2847.0,5.181286549707602,3.0,290,84.7953216374269,80.3250315293742,29.887696759259256,0.0002777777777777778,474.2158101851852
keep-open,15,2751.0,738.0,10.4,7.0,4,26.666666666666668,330.8155497685185,352.64078125000003,142.57141203703705,475.40922453703706
kernel,1,840.0,840.0,3.0,3.0,1,100.0,17.47255787037037,17.47255787037037,17.47255787037037,17.47255787037037
llama,2,4364.5,4364.5,5.0,5.0,1,50.0,23.776006944444443,23.776006944444443,23.776006944444443,23.776006944444443
misc,230,1989.5086956521739,748.5,4.052173913043478,3.0,224,97.3913043478261,84.23754428116733,93.82669560185185,0.00042824074074074075,420.5821296296296
multi-modality,14,2968.285714285714,1296.5,12.428571428571429,4.0,7,50.0,49.223723544973545,10.74619212962963,0.4492939814814815,171.90341435185186
new-model,244,1129.6475409836066,547.0,4.672131147540983,3.0,214,87.70491803278688,89.37585302007618,60.62153935185185,0.00042824074074074075,562.0647453703704
performance,292,3806.054794520548,1398.0,5.256849315068493,3.0,214,73.28767123287672,115.21054327838354,121.22838541666667,0.0006828703703703704,587.9211805555556
quantization,12,2054.8333333333335,806.5,6.416666666666667,4.0,12,100.0,114.1420177469136,50.37512152777778,1.6080439814814815,414.3970601851852
question,7,206.14285714285714,145.0,2.7142857142857144,2.0,7,100.0,79.95547453703703,4.388483796296296,0.2472800925925926,435.84711805555554
qwen,1,15033.0,15033.0,34.0,34.0,0,0.0,,,,
ray,96,12744.708333333334,8883.0,6.625,5.0,55,57.291666666666664,78.20152525252524,39.32716435185185,0.04819444444444444,275.96961805555554
release,20,360.8,359.0,8.7,8.5,20,100.0,16.018252314814813,7.623327546296297,0.3200115740740741,132.053125
release-blocker,2,3196.5,3196.5,2.5,2.5,2,100.0,2.3117824074074074,2.3117824074074074,0.49925925925925924,4.124305555555556
rocm,75,10994.826666666666,6322.0,5.1066666666666665,4.0,63,84.0,106.57098618459727,113.46828703703704,0.1574074074074074,283.0885648148148
security,3,4456.333333333333,244.0,1.3333333333333333,1.0,3,100.0,6.0929359567901225,3.916145833333333,0.9609606481481482,13.401701388888888
speculative-decoding,14,5530.857142857143,3187.5,7.714285714285714,5.0,10,71.42857142857143,74.82153356481481,68.82960069444445,1.7595486111111112,214.84311342592594
stale,2868,6214.7444211994425,1974.0,5.2092050209205025,4.0,2464,85.91352859135286,168.03780202508705,129.9584837962963,90.26597222222222,647.2546180555555
startup-ux,7,3757.0,3303.0,4.857142857142857,6.0,0,0.0,,,,
structured-output,56,7733.035714285715,3726.0,6.946428571428571,4.0,23,41.07142857142857,85.48190368357487,32.50864583333333,1.3379976851851851,420.5821296296296
tool-calling,34,6744.35294117647,3834.5,6.147058823529412,2.5,3,8.823529411764707,118.93577160493828,22.757685185185185,1.8541782407407408,332.1954513888889
torch.compile,28,9437.5,8198.5,7.035714285714286,5.0,10,35.714285714285715,49.379278935185184,18.918362268518518,0.07716435185185185,189.2548611111111
tpu,18,15084.166666666666,5910.0,5.388888888888889,4.5,14,77.77777777777779,76.41066633597883,27.78866898148148,0.9449189814814815,350.8717361111111
unstale,158,6312.550632911392,1526.0,9.50632911392405,6.0,50,31.645569620253166,230.98673032407405,218.1212037037037,109.64545138888889,551.8792245370371
usage,1285,4585.764202334631,1357.0,4.16887159533074,3.0,1001,77.89883268482491,70.20352838134085,21.687175925925924,0.00024305555555555555,546.4288657407408
v0,1,2690.0,2690.0,6.0,6.0,0,0.0,,,,
v1,28,5374.892857142857,2874.5,9.5,4.0,21,75.0,55.89077491181657,44.21983796296296,0.22533564814814816,150.81555555555556
x86-cpu,4,5230.75,4947.5,9.25,7.5,4,100.0,186.6419241898148,225.94348379629628,1.3238078703703704,293.3569212962963
